id,titre,theme,mots_cles,producteur,type_prod,frequence,licence,modifie,lignes,description
observatoire-des-mobilites-evenements-exceptionnels-indicateurs-de-mobilites,Observatoire Parisien des Mobilités - Evénements exceptionnels - indicateurs de mobilités,Mobilité et Espace Public,"mobilité,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-07-06,147,Jeu de données calendaire listant les évènements exceptionnels contextualisant les indicateurs de mobilités contenu dans l'observatoire des mobilités Accès au jeu de données Observatoire des mobilités - Baromètre trimestriel des déplacements Accès au tableau de bord de l'observatoire des mobilités trimestriel
observatoire-parisien-des-mobilites-barometre-trimestriel-des-deplacements,Observatoire Parisien des Mobilités - Baromètre trimestriel des déplacements,Mobilité et Espace Public,"DVD,mobilité,déplacement,Tableau de bord,vélo",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-07-06,61,Jeu de données regroupant une partie des indicateurs du bulletin trimestriel des déplacements publié par l'Observatoire des déplacements de la Ville de Paris depuis 1990. Certaines données accessibles ici remontent à 2011.L'indice vélos est remplacé par un nombre moyen journalier depuis le troisième trimestre 2022. Les indicateurs sont illustrés et l e dernier bilan est téléchargeable sur la page Bilan des déplacements à Paris.
plub_pvp,PLU bioclimatique - Protections patrimoniales - Motivations des protections,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,5729,"Plan Local d'Urbanisme Bioclimatique de Paris - Protections patrimoniales - Motivations des protections Version du PLU votée par le Conseil de Paris le 16 juin 2026. Documentation complète : cf. ""Protection patrimoniale – Motivation des protections - Table.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail"
plub_plocequi,PLU bioclimatique - Périmètres de localisation d'équipement,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,388,"Plan Local d'Urbanisme Bioclimatique de Paris - Périmètres de localisation d'équipement Version du PLU mise en compatibilité le 16 juin 2026. Documentation complète : cf. ""Périmètre de localisation d équipement.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail National de l'Urbanisme ."
plub_hmc,PLU bioclimatique - Hauteur maximale constructible,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,47,"Plan Local d'Urbanisme Bioclimatique de Paris - Hauteur maximale constructible Version du PLU votée par le Conseil de Paris le 16 juin 2026. Documentation complète : cf. ""Hauteur maximale constructible.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail National de l'Urbanisme ."
plub_surf_pvp,PLU bioclimatique - Protections patrimoniales - Bâtiments protégés,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,7589,"Plan Local d'Urbanisme Bioclimatique de Paris - Protections patrimoniales - Bâtiments protégés Version du PLU votée par le Conseil de Paris le 16 juin 2026. Documentation complète : cf. ""Protection patrimoniale - Bâtiment protégé.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail National de l'Urbanisme ."
plub_eal,PLU bioclimatique - Espaces à libérer,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,180,"Plan Local d'Urbanisme Bioclimatique de Paris - Espaces à libérer Version du PLU votée par le Conseil de Paris le 16 juin 2026. Documentation complète : cf. ""Espace à libérer.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail National de l'Urbanisme ."
plub_pvp_geos,PLU bioclimatique - Protections patrimoniales - Protections à pour géométrie surfacique,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,7804,"Plan Local d'Urbanisme Bioclimatique de Paris - Protections patrimoniales - Protections à pour géométrie surfacique Version du PLU votée par le Conseil de Paris le 16 juin 2026. Documentation complète : cf. ""Protection patrimoniale – Protection à pour géométrie surfacique - Table.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également télécharg"
plub_res_logt,PLU bioclimatique - Emplacements réservés pour logements,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,819,"Plan Local d'Urbanisme Bioclimatique de Paris - Emplacements réservés pour logements Version du PLU mise en compatibilité le 16 juin 2026. Documentation complète : cf. ""Emplacement réservé pour logements.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail National de l'Urbanisme ."
plub_res_equi,PLU bioclimatique - Emplacements réservés pour équipement,Urbanisme et Logements,"PLU,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-02,44,"Plan Local d'Urbanisme Bioclimatique de Paris - Emplacements réservés pour équipement Version du PLU votée par le Conseil de Paris le 16 juin 2026. Documentation complète : cf. ""Emplacement réservé pour équipement.pdf"" en pièce jointe. Données disponibles pour information et sans valeur réglementaire. Pour accéder au PLU officiel, consulter le Portail des Règles d'Urbanisme de Paris. Pour accéder aux autres données du PLU disponibles sur l'Opendata, consulter cette page . Les documents et données du PLU sont également téléchargeables sur le Géoportail National de l'Urbanisme ."
